"Origin ID","Name","Alternative Name","ITI Number","Category","Source","Date","Palette","Threadcount","Notes","Origin URL"
"2665","Watret (Artefact)","","2665","Artifact; Portrait","","pre 1850","P#780078; B#2C2C80; FG#A07C58; Y#E8C000; R#C80000; O#D87C00;","B42 P42 Y42 FG4 R42 O42 Y42 B4 R4 P4 FG42","Asymmetric. This sett was apparently taken by James Watret of Illinois from a child's kilt passed down by a great grandfather who lived in the early nineteenth century. Warp and weft are different and both are non-repeating i.e. it is an asymmetrical tartan. This count is taken from the National Archives Register which doesn't show different warp & weft so this version shown here is unreliable.","http://www.tartansauthority.com/tartan-ferret/display/2665/"
"2666","Danzas (Corporate)","","2666","Corporate","","Feb. 2000","Y#E8C000; B#2C2C80; AB#1870A4;","B/6 AB4 B80 AB34 Y2 AB6 Y/8","A corporate tartan for Danzas (UK) - a cargo handling company based in Scotland - uisng their corporate colours.","http://www.tartansauthority.com/tartan-ferret/display/2666/"
"2667","Kentucky, State of (District)","","2667","American; District","Furgerson/Murray-Schweitzer.","2000","WW#FCFCFC; R#C80000; B#2C2C80; G#006818; LN#C0C0C0; K#101010; LY#C4BC68;","K/4 G26 B22 WW4 LN8 R6 LY/6","Designed by Rupert Furgerson and Pat Murray-Schweitzer. On April 20th 2000, Gov. Paul Patton of the Commonwealth of Kentucky signed a proclamation establishing this new statewide Kentucky Tartan. Adopted by House Resolution No. 52 and Senate Resolution No. 27. January 19, 2000. Originally woven by D C Dalgliesh and latterly by Lochcarron (16oz). Sample in STA Johnston Collection.","http://www.tartansauthority.com/tartan-ferret/display/2667/"
"2668","Dollar Academy (1999) (Corporate)","","2668","Corporate","Strathmore Woollen Co","1999","G#006818; K#101010; RB#1C0070; NB#005088; W#E0E0E0;","K/4 RB8 G36 K16 NB16 K16 NB76 W/8","Based on the original 1930s tartan (#290) and re-designed - at the suggestion of the Parents Association - by The Strathmore Woollen Co. of Forfar whose Managing Director David Cowley is a Dollar Academy old boy. Now used for pinafore dresses for P1 - P5 girls and kilted skirts for P6 to Sixth Form girls. (Info from Asst Rector 5th August 2005)","http://www.tartansauthority.com/tartan-ferret/display/2668/"
"2669","Mission (District)","","2669","Canadian; District","Mission Weavers & Spinners Guild","1999","WG#50A47C; LSB#98C8E8; G#00A424; LO#EC8048; K#101010; CLR#E87878;","K/4 WG8 CLR8 K8 G44 K4 LSB56 LO/8","Designed by the Mission Weavers & Spinners Guild for the British Columbian town of Mission - a town of 35,000 population sited about 15 minutes north of the US/Candian broder and about 70 kilometres east of Vancouver. It is the site of Canada's first train robbery, B.C.'s first rail link to the United States, one of the earliest Hydroelectric dams and Fraser River bridges and is home to the oldest known First Nations' archeological site in British Columbia. The tartan was presented to Mayor Hawes on 18th October 1999. The Guild wanted the tartan to reflect the natural and industrial history of the district: black is for the coal industry and the railway lines, brown is for the cedar shakes, blue the Fraser River, dark green the forests, light green is for farming and salmon pink is for the salmon and the berries of summer. The original count asked for dark red in the midst of the broad blue band but a press photo in June 2010 showed that DR to be a light orange so this graphic has been changed.","http://www.tartansauthority.com/tartan-ferret/display/2669/"
"2670","Veere (District)","","2670","District; Netherlands","Lumsden, Keith","Oct. 1999","WG#346488; B#2C2C80; G#006818; LN#C8C8C8; K#000000; MY#C88C00;","B/12 K4 WG4 B16 K36 MY4 G40 B16 WG6 K20 LN/12","Designed by Keith Lumsden, STS for the town of Veere in Holland. Based on Wilsons' No.30 with an additional white stripe to reflect the town's coat of arms. Contact: Ms Dorothee Sybenga-Botje, Fazantlenaan 4, 4351 RV Veere, Netherlands. In the medieval period Veere, which was surrounded by walls in 1358, was an important trading town and fishing port. After the marriage of the lord of Veere, Wolfert van Borssele, with the daughter of King James I of Scotland in 1551 the Scottish staple at Veere became an important outlet for the sale of Scottish wool. The town's prosperity was brought to an end by the French occupation in 1799. In 1958 the fishing harbour was cut off from the sea by the construction of the Veerse Gat dam, and Veere is now only a sailing center and holiday resort.","http://www.tartansauthority.com/tartan-ferret/display/2670/"
"2671","Connecticut, State of (District)","","2671","American; District","Maynard/Swope/Alexis","1994","WW#FCFCFC; Y#E8C000; R#C80000; G#006818; BL#1474B4; N#888888;","BL80 N8 WW4 N20 G32 Y4 G8 R4 G32 N32","Asymmetric. An asymmetric tartan designed by three professors at Three Rivers Community College in Norwich, Connecticut - Brent A. Maynard ( Professor of Nuclear Engineering Technology), Kathleen Swope and Noel Alexis. Adopted by legislature and signed into law by and Governor John Rowland., 22 May 1995. Blue is for the Long Island sound, green for the forests, red and yellow for the autumn leaves, grey for granite and white for snow. The offset white symbolises the irregularity of the Connecticut snowfall. Official count given as Blue-10, gray-2, white-1, gray-5, green-8, yellow-1, green-2, red-1, green-8, gray-8 and blue-10.","http://www.tartansauthority.com/tartan-ferret/display/2671/"
"2672","City of Lethbridge (District)","Lethbridge","2672","Canadian; District","Lethbridge Handicraft Guild.","Jan. 2000","A#5C8CA8; S#C8002C; W#E0E0E0; G#006818; Y#E8C000; K#101010; CLR#E87878;","G/40 CLR2 G20 Y4 A6 K2 W4 Y20 S2 G20 A4 K/2","Produced for the millennium District celebrations in the year 2000. This design has nine colours - three more than the maximum number that can easily be woven on a conventional handloom. Lochcarron weave done in Dec. 2001 for Burnett & Struth of Ontario. This weave differs in count and has a warp colour change on the gold 4 to pale yellow 6. The Guild members used colours from the City Crest with green for the trees and grass, gold for the ripe harvest fields, red for the RCMP and its history, white for the snow, light blue for the skies, steel blue for the mountains, black for the coal mining and pink for the Alberta rose.","http://www.tartansauthority.com/tartan-ferret/display/2672/"
"2674","Crane of Clunie (Personal)","","2674","Personal","Scottish Tartans Society","Aug. 1998","K#101010; S#C8002C; G#006818; DY#E8C000;","G/164 K12 G6 K18 S4 K10 G4 DY/4","Designed by the Scottish Tartans Society for Stuart G. Crane ( Feudal Baron of Cluny in Fife) using the colours in his Baronial coat of arms. Subsequent Clunie tartans (dress and hunting) can be seen at 6142 and 6143 respectively. DEsign very closely based on #790 - the Duke of Fife.","http://www.tartansauthority.com/tartan-ferret/display/2674/"
"2675","Rainbow Kilt (Fashion)","","2675","Fashion","Hek, Ronnie","2000","LG#289C18; B#2C2C80; P#780078; Y#E8C000; R#C80000; MR#C04C08; O#D87C00;","B2 R4 P4 LG24 B24 P24 Y4 R4 LG4 MR24 O24 Y24","Asymmetric. The registration of the Rainbow Tartan by Ronnie Helk was reputedly designed especially for the Gay (homosexual) community. Its inclusion in the rather conventional Scottish Tartans Society Register caused quite a stir and reputedly resulted in a dismissal. According to the designer Ronnie Hek the success of this tartan 'demanded' that a variation was produced that would be more functional for a kilt and this is the result.","http://www.tartansauthority.com/tartan-ferret/display/2675/"
"2677","Auchterlonie (Name)","Ochterlonie","2677","Name","Dalgliesh, D C","pre 2002","GO#BC8C00; DW#B8B8B8; RB#1C0070;","GO/8 RB12 DW26 RB42 DW16 RB/70","This was said to be a private tartan for someone named Auchterlonie and was in the records of the late Jack Dalgety of Forfar. His version has a slightly different warp and weft. This version shown here was as woven by D C Dalgliesh, has the same warp and weft and was called Ochterlonie. Alternative version found in a large book (Page 91) of almost 400 hand-painted warp strips by James Cant (died 1960) and presented to Jack Dalgety of Forfar (Alex Dalgety & Son) which suggests that this #2677 is a corruption of the original.","http://www.tartansauthority.com/tartan-ferret/display/2677/"
"2678","Arkansas (Fashion)","Natural State","2678","American; Fashion","Smith, Dr. Phil","1998","WW#FCFCFC; K#101010; S#C8002C; G#006818;","G/8 K12 G12 S24 G48 WW4 G/12","It was thought that this was the official Arkansas state tartan when the State Governor Mike Huckabee proclaimed it as such in 1998 but subsequently (6th March 2001) the State Senate failed to pass the requisite bill . . . so Arkansas has no State Tartan at the moment. History - At one time there were two other contenders for this honour (Jason Nickerson and Martha Markland) but this database only has details of one other - # 3264. Green represents the ""Natural State"" (the State's nickname), red the original settlers, white for the diamonds and black for the rich oil reserves.","http://www.tartansauthority.com/tartan-ferret/display/2678/"
"2679","Manx Heritage (Corporate)","","2679","Corporate","Manx Museum","1998","A#5C8CA8; DG#006438; S#C8002C; B#2C2C80; N#888888;","A/6 S6 A4 S6 DG4 S4 DG4 S34 B20 S4 DG4 S4 DG38 N/6","Produced by the Manx Museum in 1998 as a commemorative and promotional tartan. Manx refers to the Isle of Man, a large (221 sq miles) island in the Irish Sea which is a self governing Crown dependency with a population of about 70,000. The inhabitants are of Celtic origin. The Scottish Tartans Society was involved with its design and the colour siginificance is as follows: Red for the sandstone, green for the headland hills, dark blue for the sea, light blue for the sky and grey for the rocks & cliffs. The tartan was only available from the Manx Museum and other Manx Heritage sites with shops but sales were insufficient and the tartan 'died' (Albert McBain-Lee, May 2008).","http://www.tartansauthority.com/tartan-ferret/display/2679/"
"2680","Glasgow, University of (Corporate)","","2680","Corporate","Geoffrey (Tailor) Highland Crafts","Nov. 1999","GO#BC8C00; K#101010; B#2C2C80; W#E0E0E0; G#006818;","B/4 W4 K4 GO4 K14 G8 B44 K/4","The official 'livery and promotional University tartan' (STS).","http://www.tartansauthority.com/tartan-ferret/display/2680/"
"2681","Orkney (District?)","","2681","District","Hek, Ronnie","2000","GO#BC8C00; WG#408060; K#101010; AB#1870A4; M#901C38;","GO/6 K6 M26 WG38 K6 AB38 WG6 M/18","There has never been any tradition of tartan in Orkney or Shetland but this one was designed in 2000 by Ronnie Hek of Coldstream and is only available from Westray Knitters (Marlene Bews [+44 (0) 1857 677366]. The Orkney Island Council is considering officially adopting it as the Islands' tartan (2008) but until they do, its category will remain as 'Fashion.'","http://www.tartansauthority.com/tartan-ferret/display/2681/"
"2683","Brown, Barnaby (Personal)","","2683","Personal","Fraser, Donald","pre 2002","S#C8002C; DB#202060; G#006818;","G/8 S4 G32 DB8 G4 DB8 G4 DB40 S/8","Thought to have been designed and woven by Donald Fraser for Barnaby Brown - a Skye piper and professional Pibroch teacher.","http://www.tartansauthority.com/tartan-ferret/display/2683/"
"2684","McMedic (Fashion)","","2684","American; Fashion","Fox, Stephanie","pe 1998","S#C8002C; W#E0E0E0;","W40 S40","Worn at the First Aid Post at the Stone Mountain Games USA and recorded by the Scottish Tartans Society.","http://www.tartansauthority.com/tartan-ferret/display/2684/"
"2685","Hannigan of Dirleton (Personal)","","2685","Personal","Scottish Tartans Society","Jul. 1998","P#780078; S#C8002C; Y#E8C000; W#E0E0E0; G#006818; OG#5C6428;","P/8 G8 OG4 W6 G54 OG60 Y2 S/6","Personal/Family tartan for Patrick Hannigan of Dirleton. Dirleton is a small village on the Firth of Forth just a few miles west of North Berwick, East Lothian.","http://www.tartansauthority.com/tartan-ferret/display/2685/"
"2686","Stirling Millennium (Corporate)","","2686","Corporate","Russell/Stewart","1999","W#E0E0E0; LG#289C18; LVP#C49CD8; G#006818; DG#003820; TK#8C7038;","LVP40 W20 TK20 LG20 G20 DG20 TK20 LG20 DG20","Asymmetric. To create the contemporary Stirling tartan, Stewart Russell (a researcher at Stirling Council) set about photographing indigenous plants and flowers in the Stirling area - plants at the foot of the Wallace Monument including thistles, fox gloves, wild nettles and heather. The photos were then scanned into a computer and digitalised to create patterns and individual colour palettes. This visual information was then applied to a computer programme written specifically for designing tartan. Two sets of images were produced - some symmetrical and some asymmetrical. The asymmetrical patterns were said to have been based on original designs found in the Wilson's ""Key Pattern Book"" of 1819."" Apparently this design process was not without its problems and Stewart then took the project to Annie Stewart of Anta who designed the tartan as it is today.","http://www.tartansauthority.com/tartan-ferret/display/2686/"
"2687","Feddinch Club, St Andrews (Corp)","","2687","Corporate","MacKay, Ewan","Feb. 2000","DG#003820; K#101010; DB#1C0030; DR#880000;","DG/86 K28 DB28 DR/4","Originally called the St. Andrews Int. Golf Club Tartan, the name was changed in April 2014 to the present Feddinch Club.","http://www.tartansauthority.com/tartan-ferret/display/2687/"
"2689","Wacker (Name)","","2689","Name","Birch, Robin","2000","G#006818; K#101010; B#2C2C80; NB#003C64; W#E0E0E0;","B/12 K6 B6 NB26 G26 K2 G26 NB26 W2 B6 K/6","Designed in March 2000 by Robin Birch of Connell Reid Kiltmakers of Blairgowrie for a Dr. Wacker but can be worn by anyone of the name.","http://www.tartansauthority.com/tartan-ferret/display/2689/"
"2690","Diaspora (Fashion)","","2690","Fashion","House of Edgar - Macnaughton Holdings Ltd.","Feb. 2000","DG#003800; BN#000034; DR#8C0000; NB#003478; DW#C8C8C8;","DG/2 DR44 BN24 NB56 DW/6","The Tartans Society entry spells this 'Dispora' and says that they are cloth suppliers.","http://www.tartansauthority.com/tartan-ferret/display/2690/"
"2692","Gyle (Corporate)","","2692","Corporate","Nisbet, Heather","1999","DG#003820; DR#880000; LB#2888C4;","DR/40 DG20 LB/160","The Gyle is a large modern shopping center on the western outskirts of Edinburgh. This design was created by 8 year old Heather Nisbet.","http://www.tartansauthority.com/tartan-ferret/display/2692/"
"2693","McGibboney (Name)","MacGiboney, MacGibonney etc.","2693","Name","McGiboney/Smith","June 2000","W#E0E0E0; RB#1C0070; Y#E8C000; K#101010; HG#285800; N#888888;","K/4 RB8 W4 RB38 K4 N20 K2 Y4 K2 N20 K4 HG38 W4 HG8 K/4","Designed by Greg McGiboney from Fremont, California and the late Don Smith of Heraldic Graphics, Glasgow. May be worn by anyone of this name or its variants. Colours here are from the woven sample. MacGibboney website at http://www.mcgibboneyfamily.org. The name comes from a descendant of a Scottish family that moved to the USA via Ireland in the 1760s and is found in Pennsylvania, North Carolina, and the Highlands of Tennessee.","http://www.tartansauthority.com/tartan-ferret/display/2693/"
"2696","KaDeWe (Corporate)","","2696","Corporate; German","","1989","DG#003820; DR#880000;","DR/200 DG8 DR16 DG36 DR/6","Estimated count from small graphic. Pronounced Kaa - Day - Vay these are the initials of Berlin's famous department store - Kaufhaus Des Westes - originally built in 1906/07 and the largest in Europe. Famous for its gourmet food department on the 6th floor. It is reported (STS) that during 1989 and the Glasgow mission to Berlin, this tartan was designed from a plastic bag found at Glasgow Airport. Donald Fraser (weaver) wove it for them in store where it was given the store's abbreviated name 'KaDeWe'.","http://www.tartansauthority.com/tartan-ferret/display/2696/"
"2697","MacIver Hunting (Clan)","","2697","Clan; Family","","pre 1998","K#101010; HG#507830; W#E0E0E0; YT#D8B000;","W/4 HG24 K6 HG6 K32 HG6 K6 HG24 YT/4","In this the red ground changes to green and supercedes the comment made in #1855 about there being no MacIver Hunting. STS notes that this was worn in 1998 by Ian MacIver Chairman of the MacIver Society. The sett was found on the west coast of Scotland. It avoids the confusion with the MacArthur Hunting #1100. Sample in STA Dalgety Collection. Lochcarron sample proportions quite different: Y/4 G48 K8 G8 K60 G8 K8 G46 W/4","http://www.tartansauthority.com/tartan-ferret/display/2697/"
"2699","World Fed. of Bldg Contractors (Corp","","2699","Corporate","House of Edgar - Macnaughton Holdings Ltd.","May 2000","AZF#6478B0; DB#000064; LC#C82800; W#C8C8C8; WWB#346488;","LC/4 DB38 WWB12 AZF88 W/4","Designed by Claire Donaldson of the House of Edgar. Remains their Copyright.","http://www.tartansauthority.com/tartan-ferret/display/2699/"
"2700","Queen Mary, RMS (Corporate)","","2700","American; Corporate","Chamberlin, Victoria","Jan. 2000","P#780078; S#C8002C; B#2C2C80; W#E0E0E0; Y#E8C000; K#101010; N#888888;","B/48 Y8 N8 P8 B48 S8 W6 K36 W18 S8 K6 W/4","For the famous Royal Mail Ship RMS/Liner preserved at Long Beach California. The ship acts as a centre for Scottish Festivals, Games etc. The black white and red represent the hull, superstructure and funnels respecively. The purple strip is for the vessels Royal connection. The thin grey stripe of eight threads signifies the ship's eight-year wartime role as a troop carrier. Finally the gold and Royal blue represent the Quuen Marry's new home in Long Beach, California.","http://www.tartansauthority.com/tartan-ferret/display/2700/"
"2701","Antarctic (District)","RESTRICTED","2701","Antarctic; District","Jones, Ros","1999","A#5C8CA8; W#E0E0E0; RB#1C0070; DY#E8C000; K#101010; O#D87C00; N#888888;","A/2 W76 N4 W4 N11 O11 DY7 K11 W4 A11 RB32 W/2","Designed by Rosalind Jones of Celtic Originals. A tartan to help raise money for the British Antarctic Survey, a government organisation for scientific study, and the UK Antarctic Heritage Trust, a charity which conserves the Antarctic base of Scott, Shackleton etc. It was launched on 5th May 2000 at the Chedral Flower mart in Washington DC. ""White represents the ice-covered continent, ice flows, and the edge of the Antarctic Ocean. Grey represents outcropping rocks, seals and birds. Orange represents lichen, Emperor and King penguin (head) plumage. Yellow also represents penguin plumage and the summer midnight sun. Black and white together depict penguins and whales. Pale blue represents crevasses in the ice and shallow blue icy waters on the ice shelves, whilst dark midnight blue represents the deep Antarctic Ocean and the darkness of the Antarctic winter. The design is based upon the Antarctic?s geography. The light square of white at the edge of the sett represents the light of the Antarctic summer on the ice-covered continent. This is quartered by threads of pale blue. These represent the zero / 360, 90, 180, and 270 lines of longitude. The point where they cross represents the South Pole. Two bands of grey surrounding the white heart depicts nunataks, mountain ranges, and exposed coastal rocks. Around the coast Antarctica?s life forms are found so the colours that follow in the sett, orange, yellow, black and white, represent the wealth of animal life on land and in the seas. Orange also represents the lichens that encrust the rocks. Surrounding the land, pale blue and white depict the ice shelves whilst the outside is edged by bands of midnight blue for the ocean deeps and dark winters. Each sett is separated by a thin band of white that represents the edge of Antarctica. Where these cross, the Southern Cross is depicted. This viewed diagonally also represents the Scottish saltire, tribute that 2001 is the centenary of Scott?s first expedition to the Antarctic in 1901. This tartan was authorised by B.A.S. - British Antarctic Survey to raise funds for the U.K. Antarctic Heritage Trust. The tartan is sold in several parts of the world - including Port Lockroy in Antarctica.""","http://www.tartansauthority.com/tartan-ferret/display/2701/"
"2702","Utah (US State)","","2702","American; State","Smith, Dr. Phil","1995","DG#003820; DR#880000; W#E0E0E0; RB#1C0070;","W/6 RB18 DR18 RB12 DR18 DG54 DR18 W/12","""Utah"" state tartan was commissioned by Garry Bryant, KdeB, KCR, SC, designed by Dr. Phil Smith and adopted by a joint committee of the state's Scottish Societies and made official by Senate Resolution. A combination of the Logan and Skene tartans to honour the first two fur trappers to enter Utah. Sample in STA Johnston Collection. Tartan Society notes add: It is the Logan Tartan TS399 with a white over check added and a blue substituted for a white. Ephraim Logan was an early visitor to Cache Valley in northern Utah in 1824 naming the river after his clan/family name. Official threadcount tripled.","http://www.tartansauthority.com/tartan-ferret/display/2702/"
"2732","Justus Black & Gold (Angus) (Persona","","2732","American; Personal","Justus, Christopher Carlisle","Unknown","GO#BC8C00; K#101010;","K/12 GO4 K32 GO36 K4 GO4 K4 GO4 K/8","One of 7 tartans created by Christopher Carlisle Justus in Hendersonville NC - 1986. Status not known and no evidence of actual commercial weaving although he appears to be a weaver (Sindex notes).. Significance of (Angus) not known. This range of Justus 'tartans' are included for historical reasons only: were the Scottish Tartans Authority asked to Register a range such as this, it would decline or at least limit the number to three and offer advice on tartan design.","http://www.tartansauthority.com/tartan-ferret/display/2732/"
"2733","Justus Check (Personal)","","2733","American; Personal","Justus. Christopher Carlisle","Unknown","K#101010; O#E8C000;","K50 O50 // K28 O28","One of 7 tartans created by Christopher Carlisle Justus in Hendersonville NC - 1986. Status not known and no evidence of actual commercial weaving. Whilst technically speaking this may be regarded as a tartan, the design in modern times of such checkered setts - gingham in many eyes - is discouragedby the Authority. This range of Justus 'tartans' are included for historical reasons only: were the Scottish Tartans Authority asked to Register a range such as this, it would decline or at least limit the number to three and offer advice on tartan design.","http://www.tartansauthority.com/tartan-ferret/display/2733/"
"2759","Taplin (Name)","","2759","Name","","2003?","YY#FCCC00; K#101010; R#C80000; G#006818;","R/104 K4 R10 YY6 R10 K10 R10 G6 R10 K4 R/104","From World Register - 2759 - though to have been originally woven by D C Dalgliesh.","http://www.tartansauthority.com/tartan-ferret/display/2759/"
"2814","Dempster, Ross (Personal)","","2814","Personal","House of Edgar - Macnaughton Holdings Ltd.","Apr. 2001","DN#5C5C5C; DB#1C1C50; R#A02C24; DR#880000; HG#285800;","DB/8 HG4 R34 DR18 HG20 DB60 DN/4","Designed by Claire Donaldson of the House of Edgar for a Ross Dempster. What is specified grey here is actually grey in the woven sample although Claire's written threadcount specified light blue.","http://www.tartansauthority.com/tartan-ferret/display/2814/"
"2991","Mitsukoshi (Corporate)","","2991","Corporate; Japanese","Kinloch Anderson","2004","XR#C80000; A#5C8CA8; K#101010; LN#C0C0C0; AW#E8CCB8;","XR/6 K34 A12 LN26 K6 AW6 K6 LN/24","A promotional tartan for the centenary of the Mitsukoshi store, property of the old Japanese family of Mitsu. The similarity of the design with the City of Edinburgh tartan is to show the link between Edinburgh and Tokyo. The blue in the design represent Mitsukoshi.","http://www.tartansauthority.com/tartan-ferret/display/2991/"
"3002","93rd Regiment (Military)","Argyle & Sutherland Hghldrs","3002","Military","Wilsons of Bannockburn","pre 1819","K#000000; VDB#000058; HG#007800;","VDB/32 K6 VDB6 K6 VDB6 K32 HG30 K6 HG30 K32 VDB30 K6 VDB/6","1819 Key Pattern Book. This sett is exactly the same as the 42nd Regiment but with the blue and green slightly lighter. In their 1850 book ""The Clan and Family Tartans of Scotland"" William and Andrew Smith of Mauchline wrote: ""The Tartan worn by the 93d differs from the 42d only in having the green and blue a little lighter.""","http://www.tartansauthority.com/tartan-ferret/display/3002/"
"3003","Kinloch Anderson Check (Fashion)","","3003","Fashion","Kinloch Anderson Ltd","2002","AY#101010; Y#DC943C; K#DC943C; T#101010;","AY/6 K4 AY4 K36 AY24 Y36 T/6","Designed by Douglas Kinloch Anderson for his Japanese & Korean markets. The use of the word 'Check' indicates that they regard it as a 'fashion tartan'.","http://www.tartansauthority.com/tartan-ferret/display/3003/"
"3005","Aberdale (Fashion)","","3005","Fashion","Dalgliesh, D C","pre 2002","SB#A8ACE8; K#101010; DR#880000; MY#D09800; RB#1C0070;","SB/8 K2 RB28 K16 RB12 DR4 RB12 DR6 RB12 DR4 RB12 K4 MY/4","No details apart from being a design from weavers D C Dalgliesh of Selkirk.","http://www.tartansauthority.com/tartan-ferret/display/3005/"
"3007","Aberdeen Asset Management (Corp)","","3007","Corporate","MacDonald, Peter","July 1999","R#C80000; RB#1C0070; G#006818; LN#C0C0C0; K#101010; MY#D09800;","RB/12 LN2 RB4 R40 G20 MY4 G4 MY4 RB36 R4 K/12","Designed by Peter MacDonald as a House Tartan for Aberdeen Asset Management in Aberdeen. This Aberdeen based company's design requirements were to use the Gordon military tartan as the basis of the house tartan and to include red - a lucky colour in Singapore for the dealing office there - and gold.","http://www.tartansauthority.com/tartan-ferret/display/3007/"
"3008","Aberdeen Dress (Dance)","","3008","Dance","Dalgliesh, D C.","1986","PB#9050D8; P#780078; R#C80000; W#E0E0E0; K#101010; N#888888;","R/2 N6 W40 R2 K26 R10 N6 W2 N6 R10 K6 W2 K10 PB8 W2 PB8 K10 P2 W26 P8 K/2","A D C Dalgliesh design for Highland dancers. This is nothing like the woven sample from Jack Dalgety dated 1986.","http://www.tartansauthority.com/tartan-ferret/display/3008/"
"3012","Aberdeen-Angus Cattle Society (Corp)","","3012","Corporate","","2000","GO#BC8C00; K#000000; HG#247800;","HG/8 K6 HG6 K6 HG6 K120 GO6 HG/16","","http://www.tartansauthority.com/tartan-ferret/display/3012/"
"3013","Abergaveny (Fashion)","","3013","Canadian; Fashion","West Coast Woollen Mills","pre 1989","LN#E8CCB8; K#C0C0C0; AW#101010; FG#E8CCB8;","AW/12 AW6 K16 K6 AW4 AW4 FG4 K48 AW4 LN4 K6 FG4 LN4 AW12 FG24 K8 LN6 AW4 K33 K8 AW/36","A fashion design from West Coast Woolen Mills of Vancouver for the clothing company Aljean. Aljean - women's clothes retailer in Vancouver Canada traded under Aljean name from 1950-2012.","http://www.tartansauthority.com/tartan-ferret/display/3013/"
"3014","Aboyne I (Fashion)","","3014","Fashion","Spean Bridge Woollen Mill via TECA","1988s","MY#D09800; K#101010; R#C80000; E#4C3428; DW#B8B8B8;","R/8 MY12 R22 MY64 K16 E22 DW2 K16 MY8 R56 MY2 K2 MY/24","Seen at Spean Bridge, Pitlochry 1988.","http://www.tartansauthority.com/tartan-ferret/display/3014/"
"3015","Anderson of Kinnedear Red (Clan)","","3015","Clan; Family","MacDonald, Peter","1993","DR#880000; K#101010; MY#D09800; RB#1C0070; G#006818;","RB/6 DR12 RB2 G4 RB2 DR44 K8 G4 K8 MY4 K4 MY4 K8 DR6 RB12 DR8 RB4 DR4 RB12 DR/8","Designed by Peter MacDonald in 1993 at the request of the Anderson Commander - Hope-Vere Anderson. ""Of the original Anderson tartan (#1394) James D Scarlett MBE noted in his 1975 book ""The Tartans of the Scottish Clans"" : The origin of this taretan is unknown, but the type of pattern suggests that it had its basis in one of the 'fancy' types of design that were becoming popular in the few years immediately preceding the great 'tartan explosion' that was touched off by the 1822 royal visit to Edinburgh. There was a ready sale for such patterns in the days when they could be worn for reasons of preference, and several of them, the Anderson among them, passed to posterity as clan tartans.""","http://www.tartansauthority.com/tartan-ferret/display/3015/"
"3016","Amnesty (Commemorative)","","3016","Commemorative","Scarlett, James","2002","W#E0E0E0; DO#B84C00; T#604000; G#005010; GO#BC8C00; K#101010; DB#242468;","DO32 G42 GO5 G42 DO32 DB42 W5 DB42 DO32 G42 T5 G42 DO32 DB42 K5 DB42","Asymmetric. Bill Scobie of Amnesty International Dumbarton and Lomond Group in Scotland, asked James Scarlett to design a celebratory tartan for the 40th year. The colours describe the multi-racial and international compass of AI's work. Lochcarron swatch and scarf swatch.","http://www.tartansauthority.com/tartan-ferret/display/3016/"
"3017","Atholl Highlanders (Military)","","3017","Military","","pre 2002","K#101010; LR#D05054; RB#1C0070; DBG#005448;","LR/16 K6 RB40 K40 DBG40 LR/16","The Duke of Atholl's own Regiment. The Duke of Atholl - Blair Atholl Castle is in Perthshire- is the only individual in the United Kingdom who is still legally allowed to keep his own private army.C f Wilsons' Coarse Kilt with Red. STA sample from D C Dalgliesh 1986.","http://www.tartansauthority.com/tartan-ferret/display/3017/"
"3019","Andover (Fashion)","","3019","Canadian; Fashion","West Coast Woollen Mills","pre 2002","DN#5C5C5C; YY#FCCC00; K#101010; R#C80000; E#4C3428;","R/4 DN48 K24 YY4 E40 R/4","Assumed to be Fashion.","http://www.tartansauthority.com/tartan-ferret/display/3019/"
"3021","Art Pewter Silver (Corporate)","","3021","Corporate","MacDonald, Peter","1994","OG#5C6428; K#101010; R#C80000; DB#202060; YT#D8B000;","R/6 DB16 K8 OG24 YT2 OG24 K8 DB/24","Peter MacDonald swatch collection, Stone Mountain Games, in 1994. Designed by Peter MacDonald as a House Tartan for Art Pewter Silver.","http://www.tartansauthority.com/tartan-ferret/display/3021/"
"3022","Adams (Name)","","3022","Name","Adams","1994","RB#1C0070; G#006818; LN#C0C0C0; K#101010; DR#880000; DT#441800;","DR/4 RB44 LN2 G12 DT34 G10 DT10 G34 K4 G8 DR/8","From Peter MacDonald swatch collection. Designed by a Mr Adams in London in 1994. Assumed to be for all of the name.","http://www.tartansauthority.com/tartan-ferret/display/3022/"
"3023","Agincourt (Fashion)","","3023","Canadian; Fashion","West Coast Woollen Mills","1982 (May)","NB#D09800; MY#003C64; K#D09800;","MY/4 MY4 NB112 NB4 K24 MY28 K24 NB8 MY16 K24 NB4 NB4 MY4 NB4 MY12 K4 MY/16","Fraser & Kirkbright say (Sept 2002) it was made for Aljean. Sample in STA Collection which bears no relation to this whatsoever and looks like Stewart Hunting mislabled. Aljean - women's clothes retailer in Vancouver Canada traded under Aljean name from 1950-2012.","http://www.tartansauthority.com/tartan-ferret/display/3023/"
"3025","Ailsa, Grey (Fashion)","","3025","Fashion","Pringles","1985","DN#5C5C5C; G#00881C; W#E0E0E0; N#888888;","G/6 W2 N2 W2 N2 DN50 N18 W18 N/18","","http://www.tartansauthority.com/tartan-ferret/display/3025/"
