"Source", "Source ID", "Category", "Name", "Threadcount" 
"House of Tartan", "3212", "Clan", "Dinwiddie", "K=101010BLACK;DY=E8C000GOLD;N=888888GREY;LG=289C18LIGHT GREEN;S=C8002CSCARLET; K/4S8K4N12LG50K26N84K4N4DY/8"
"House of Tartan", "10697", "Corporate", "Distripress Annual Congress 2012", "N=666666GREY;K=101010BLACK;R=FF0000RED;W=FFFFFFWHITE; N/2K31R2N16K4W8K2R/12"
"House of Tartan", "3241", "Family", "Dobelman", "MT=784C18MEDIUM BROWN;MG=003800MEDIUM GREEN;R=8C0000RED;Y=C88C00YELLOW;K=000000BLACK;W=C8C8C8WHITE;A=788CB4AZURE;P=64008CPURPLE;ZZ=808080MISSING COLOUR;ZZ=808080MISSING COLOUR;ZZ=808080MISSING COLOUR;ZZ=808080MISSING COLOUR; K80R4K80W20R4W20"
"House of Tartan", "10943", "Name", "Dobson", "AG=006838;Y=E4E068;DT=503500;DB=1C1C50;K=101010;OG=303818 AG/72Y6DT10DB36K20OG/36"
"House of Tartan", "913", "Trade", "Dogwood", "DR=880000DARK RED;G=006818GREEN;LT=A08858LIGHT BROWN;W=E0E0E0WHITE; G/6DR24G24LT10DR2W50G4DR/2"
"House of Tartan", "10665", "Name", "Dohmen Family (Zuid-Nederland)", "G=649848GREEN;B=5F749CBLUE;R=A32D18RUST;Y=E0A126GOLD; G/60Y6B16R/50"
"House of Tartan", "290", "Corporate", "Dollar Academy", "K=101010BLACK;B=2C2C80BLUE;W=E0E0E0WHITE; B/18K18B18K18B84W/10"
"House of Tartan", "6138", "Clan", "Donachie", "R=C80000RED;G=008440GREEN;DR=800000DARK RED;DG=003820DARK GREEN; G40R4G4R4G4R50G80R4G4R48G4R4G80R50G4R4G4R4"
"House of Tartan", "3002", "Clan", "Donachie of Brockloch Hunting", "DG=003820DARK GREEN;R=C80000RED;G=006030GREEN;DR=800000DARK RED; DG/40G4DR4G4DG4G50DG80G4DR4G/48"
"House of Tartan", "2247", "County", "Donegal Irish", "WB=6030301928 BROWN;FSB=406088FS BLUE;FSG=006840FS GREEN;MY=D09000M YELLOW;RR=8C0020R RED;PS=508C60PASTEL GREEN; MY/6PS34FSB6PS6FSB6WB10FSB36RR4FSB16RR/4"
"House of Tartan", "1315", "Trade", "Dorcas Check", "K=101010BLACK;T=604000BROWN;G=006818GREEN;O=D87C00ORANGE;W=E0E0E0WHITE; O/6G28K4G4K4G6K12T36W6T4W4T/8"
"House of Tartan", "1032", "Clan", "Douglas", "A=5C8CA8AZURE;K=101010BLACK;NB=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE;B=2C2C80; K/6B6G46NB42W/4"
"House of Tartan", "1310", "Clan", "Douglas Grey Dress", "K=101010BLACK;N=888888GREY;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; N/4W8K4W22K16N6K4Y6K4R6N10K2N10K4N2K12N2K12R/12"
"House of Tartan", "7211", "Clan/Family", "Douglas, Grey", "N=909090GREY;K=000000BLACK; N/8K4N36K16N4K8N4K/36"
"House of Tartan", "4707", "District", "Doune", "KK=888888BLACK;A=5C8CA8AZURE;N=888888GRAY;K=101010BLACK;WW=F8F8F8WILSON WHITE WW/8N80K16A4K4A6K4A22N/20"
"House of Tartan", "10704", "Name", "Dow - Aerlift", "G=23321BBOTTLE GREEN;B=433A5AILLINOIS NAVY;K=1C1714BLACK;R=CA2625BRIGHT SCARLET;W=F9F5EFPEROXIDE WHITE;Y=E0A126GOLD; B28G4B4G28K4G28K4G4K18R4K16Y4K18G4K4G28K4G28B4G4B28W4"
"House of Tartan", "2266", "County", "Down Irish", "LO=D49464AM BRONZE;LT=B49870BARLEY;AA=6490A8PASTEL BLUE;LDR=BC401CREDWOOD;UT=28200CUMBER;SG=005448SEAWEED;T=74482C39 BROWN; T/130UT18LDR22T10AA4LO4LT10T4LO/26"
"House of Tartan", "2511", "Family", "Doyle Irish", "DG=003820DARK GREEN;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW; G/14DG12Y4DG38G8R18G/48"
"House of Tartan", "10689", "Fashion", "Dress Blue", "Y=FFE700GOLD; W=FFFFFFWHITE; DR=E3170DDARK RED; NB=000080NAVY BLUE; K=101010BLACK; LB=82CFFDLIGHT BLUE; DR/8LB32K6NB88DR2W6Y/4"
"House of Tartan", "6069", "Fashion", "Dress Watch (Fashion)", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;WW=FCFCFCWILSON WHITE; WW/8G4B2G36K36B36K6B/8"
"House of Tartan", "1414", "Wheel", "Drumlithie Rock and", "G=006818GREEN;P=780078PURPLE;R=C80000RED;LR=D05054ROSE; R/4P6LR4R30P6G38P40R30P6LR4R/4"
"House of Tartan", "457", "Clan", "Drummond", "A=5C8CA8AZURE;B=2C2C80BLUE;G=006818GREEN;R=C80000RED; B/4R12B4R6G48R4G4R4B18R4A4R56B4R4B2R/12"
"House of Tartan", "1125", "Clan", "Drummond (Grey)", "K=101010BLACK;DN=5C5C5CDARK GREY;LN=C0C0C0LIGHT GRAY; K/8LN4K4DN28LN4K4LN4K8DN4K32LN4K4LN2K/8"
"House of Tartan", "1715", "Clan", "Drummond of Perth", "A=5C8CA8AZURE;K=101010BLACK;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/102Y4K8W4G42R20K8A8W/4"
"House of Tartan", "1669", "Clan", "Drummond of Perth (Logan)", "A=5C8CA8AZURE;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/72W2B6Y2G32R16B6A4W/2"
"House of Tartan", "1717", "Clan", "Drummond of Perth Dress", "K=101010BLACK;N=888888GREY;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/80Y2K4N2W30R10K10N10W/2"
"House of Tartan", "671", "Clan", "Drummond of Strathallan", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; W/6G10Y6K6R10W6R10W6R10K6Y6G26K6G26K6G26Y6K6R10W6R10W6R10K26W2B6W2K26Y16G10Y6G10Y16B6R6K6R26W2B2W2R26W2B2W2R26K6R6B6Y6G10W6G10Y6K10R10W6R10K6Y16G10Y16K6R6K6R/6"
"House of Tartan", "1716", "Clan", "Drummond Old", "A=5C8CA8AZURE;K=101010BLACK;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/76Y4K8A4G28R8K4A4W/4"
"House of Tartan", "6422", "Clan", "Dryburgh", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;Y=DCC010YELLOW;R=BC4C10PILLARBOX;LN=907C80SILVER;EB=6C5454DARK SABLE; K20EB4K4EB4K6EB20R32LN4R4LN4R4LN4R32EB20K6EB4K4EB4K20Y4"
"House of Tartan", "2250", "County", "Dublin Irish", "DP=300438BILBERRY;DR=8C0020R RED;LSB=6CAC84AQUA;LUT=906010VICUNA;T=785C3439 BROWN; DR/6LSB16DR4LSB36DP10LSB6T6LSB6T32LSB6T6LSB/6"
"House of Tartan", "1378", "Family", "Duchess of Albany", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW; R/4B28K16G4K2G4K2G8K2G4K2G4B8G4B8G4K2G4K2G8K2G4K2G4K16B28Y/4"
"House of Tartan", "358", "Edinburgh", "Duchess of", "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; A/24K8R8K8Y4K10B8K16B20K8G64R8G64A16K16Y4K4W4K4G24R16K4R10W4R10K4R16G24K4W4K4Y4K16A16R/24"
"House of Tartan", "1368", "Family", "Duchess of Kent", "A=5C8CA8AZURE;K=101010BLACK;R=C80000RED;W=E0E0E0WHITE; R/6A38K8R6K6R14K6R10K6R10K4W/4"
"House of Tartan", "607", "Family", "Duchess of York", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;UT=480800UMBER;W=E0E0E0WHITE; B/2UT18G10UT2K10UT2G10UT18W/2"
"House of Tartan", "1661", "Portrait", "Duffus Lord...", "K=101010BLACK;T=604000BROWN;R=C80000RED;Y=E8C000YELLOW; Y/30R14K24Y24K24T24R/14"
"House of Tartan", "2172", "Family", "Duffy", "K=101010BLACK;G=006818GREEN;LG=10A448LIGHT GREEN;W=E0E0E0WHITE;Y=E8C000YELLOW; G50W2K46LG14Y4LG4Y4LG14K46W2G78LG8G28"
"House of Tartan", "745", "Family", "Duke of York Hunting Royal", "B=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE;Y=E8C000YELLOW; G/99B20W8B30Y8B10Y8G/46"
"House of Tartan", "1472", "Family", "Dunbar", "K=101010BLACK;G=006818GREEN;R=C80000RED; R/12G42K16R56K2R/8"
"House of Tartan", "1236", "District", "Dunbar (Wilson's)", "K=101010BLACK;R=C80000RED;W=E0E0E0WHITE; K/26W4K8R/56"
"House of Tartan", "1634", "Family", "Dunbar of Pitgaveny", "SCR=A00048CRIMSON;N=888888GREY;W=E0E0E0WHITE; SCR/2N38W/2"
"House of Tartan", "1886", "Trade", "Dunbarton", "K=101010BLACK;T=604000BROWN;LB=2888C4LIGHT BLUE;R=C80000RED;Y=E8C000YELLOW; Y60R4Y4K10Y6T4Y6T44Y6K4Y6.LB60R4LB4K10LB6T4LB6T44LB6K4LB6"
"House of Tartan", "1022", "District", "Dunblane", "B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; G/12Y10W2G4W2G10W2G4W2R30B4W/2"
"House of Tartan", "954", "Corporate", "Dunbog Primary School", "B=2C2C80BLUE;DB=202060DARK BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW; G/4Y4DB32G10B6R/24"
"House of Tartan", "1112", "Clan", "Duncan", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE; K/8G42W6G42B42R/8"
"House of Tartan", "6497", "Clan", "Duncan of Sketraw", "LB=2888C4LIGHT BLUE;W=E0E0E0WHITE;B=2C2C80BLUE;Y=E8C000YELLOW;G=006818GREEN;K=101010BLACK;R=C80000RED;BL=1474B4BALMORAL BLUE; R4K12G4K4G28K2Y4K2BL10R2BL10K2W4K2G28K2BL4K2G28K2W4K2BL10R2BL10K2Y4K2G28K4G4K12"
"House of Tartan", "1041", "Clan", "Dundas", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED; K/8B32K24G48R2G4K/4"
"House of Tartan", "1645", "District", "Dundee", "A=5C8CA8AZURE;K=101010BLACK;G=006818GREEN;R=C80000RED;LR=D05054ROSE;W=E0E0E0WHITE;Y=E8C000YELLOW; R/60LR4K12LR4G34Y14W4K4W4Y8A14W4K12W/12"
"House of Tartan", "2512", "Corporate", "Dundee Discovery", "BN=000034DARK NAVY;DG=003014MOD GREEN;DR=8C0000RED;MY=C88C00YELLOW;K=000000BLACK;B=2C2C80BLUE;G=006818GREEN; B8K4B8K4B44K4B8K4B8G24MY6G6MY2K6DR4K6MY2G6MY6G24B40K4B8K4B40K28G24DR4G24K28"
"House of Tartan", "691", "District", "Dundee Dress", "A=5C8CA8AZURE;K=101010BLACK;SCR=A00048CRIMSON;DB=202060DARK BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; G/20DB20A4W24Y8W4K4W4Y8W38SCR4K32SCR4R/72"
"House of Tartan", "2058", "Corporate", "Dundee F.C.", "AY=DC943CANC YELLOW;DB=202060DARK BLUE;R=C80000RED;W=E0E0E0WHITE; R/4DB8AY3DB52AY3DB8W6DB3W4DB/6"
"House of Tartan", "1648", "Family", "Dundee Wallace", "A=5C8CA8AZURE;K=101010BLACK;G=006818GREEN;P=780078PURPLE;R=C80000RED;LR=D05054ROSE;S=C8002CSCARLET;W=E0E0E0WHITE;Y=E8C000YELLOW; R/8S4LR4K6R20A16W4P16W16P16W4A16K36Y8W4K4W4Y8G86W4R/104"
"House of Tartan", "2114", "", "Dunedin District (NZ) Tartan", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/4K4B16W4B4W4B16K4R4K4G16Y/4"
"House of Tartan", "1197", "Clan", "Dunlop", "K=101010BLACK;B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE; K/6R2K60W2B56R2B2W/6"
"House of Tartan", "1784", "Family", "Dunlop Dress", "B=2C2C80BLUE;P=780078PURPLE;W=E0E0E0WHITE; W/6B2W60B2P56W2P2W/6"
"House of Tartan", "1802", "Corporate", "Dunoon Irish", "G=006818GREEN;O=D87C00ORANGE;W=E0E0E0WHITE; W/12G78O78W/12"
"House of Tartan", "1089", "District", "Durham", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED; K/4G12K12B12R/4"
"House of Tartan", "2228", "Clan", "Durie", "YY=FCCC00YELLOW-BASIC;G=006818GREEN;AY=DC943CANC YELLOW;DB=202060DARK BLUE;DG=003820DARK GREEN;DR=880000DARK RED;Y=E8C000YELLOW; G8Y4G48DR16DB4DR4DB4DR4DB48DR4DB4DR4DB4DR16G48Y4"
"House of Tartan", "1134", "District", "Dutch", "K=101010BLACK;B=2C2C80BLUE;O=D87C00ORANGE;W=E0E0E0WHITE; K/2O24K24O2B24W/4"
"House of Tartan", "1133", "District", "Dutch Dress", "A=5C8CA8AZURE;K=101010BLACK;O=D87C00ORANGE;R=C80000RED;W=E0E0E0WHITE; K/2O24K24A2W24R/4"
"House of Tartan", "2128", "District", "East Kilbride", "AY=DC943CANC YELLOW;K=101010BLACK;FB=74846CFADED BLUE;OG=5C6428OLIVE GREEN;SCR=C8002CSCARLET;W=E0E0E0WHITE; SCR40K4FB20K4FB20K4OG30SCR42AY8SCR42OG30K4FB20K4FB20K4SCR54W8SCR14"
"House of Tartan", "2061", "District", "East Kilbride (Original)", "K=101010BLACK;B=2C2C80BLUE;DY=E8C000GOLD;G=006818GREEN;SCR=C8002CSCARLET;W=E0E0E0WHITE; W/4K2SCR30B20G14SCR20DY/6"
"House of Tartan", "2561", "Fashion", "East Lothian (Fashion)", "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;P=780078PURPLE;Y=E8C000YELLOW; A12B34P8B4K22G66Y8G66K22B4P8B34"
"House of Tartan", "10672", "Corporate", "Eastern Shore Police Emerald So", "DG=1D4B44DARK GREEN;G=328472GREEN;K=101010BLACK;MB=407088MEDIUM BLUE;DY=FFCC33DARK YELLOW;LN=D9D9D5SILVER; G/8DG80G8K16MB8K16G10K4DY8K4DG2G4DG4K2LN/2"
"House of Tartan", "1163", "District", "Edinburgh", "K=101010BLACK;B=2C2C80BLUE;DR=880000DARK RED;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE; W/6B50DR6R6DR6R10G20DR6K/4"
"House of Tartan", "2307", "Corporate", "Edinburgh Crystal", "B=2C2C80BLUE;R=C80000RED;BN=14283CBLUE GREY;DR=880000DARK RED;K=101010BLACK;LN=C0C0C0LIGHT GRAY;NB=003C64NAVY BLUE; BN120LN8K24B12R12B12K24LN8"
"House of Tartan", "1461", "District", "Edinburgh Dress", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;P=780078PURPLE;R=C80000RED;W=E0E0E0WHITE; R/6G6B28P14G6P6G6W60K4W/8"
"House of Tartan", "2106", "Corporate", "Edinburgh Marketing", "DB=202060DARK BLUE;R=C80000RED;W=E0E0E0WHITE; DB/38R6DB6R9W5R12DB8R/16"
"House of Tartan", "3614", "Military", "Edinburgh Military Tattoo 50th", "WB=000048BLUE;WG=004028GREEN;WS=C80000SCARLET;K=000000BLACK; K/4WB32WS24WG32K/4"
"House of Tartan", "10005", "Corporate", "Edinburgh Napier University", "B=2C2C80BLUE;DW=F0E4CCOFF WHITE;K=101010BLACK;LG=289C18LIGHT GREEN;R=C80000RED;GO=BC8C00DARK GOLD;A=5C8CA8AZURE; A/8DW8A8DW10K16LG4R38GO/2"
"House of Tartan", "6396", "District", "Edinburgh, City of.. (2001)", "WW=F8F8F8WILSON WHITE;N=888888GRAY;R=C80000RED;G=006818GREEN;LB=2888C4LIGHT BLUE;K=101010BLACK; K6WW8K6WW8K6R36G2N36R2LB36WW2G36K2N36LB2R36"
"House of Tartan", "5731", "Name", "Edwards Welsh", "A=5C8CA8AZURE;DB=202060DARK BLUE;N=888888GREY; N37DB4N7DB4N9DB40A2DB4N2.N53DB4N8DB4N10DB40A2DB4N2DB4A2DB40N10DB4N8DB4N53"
"House of Tartan", "81", "Regimental", "Edzell U.S. Navy", "B=2C2C80BLUE;DB=202060DARK BLUE;R=C80000RED;W=E0E0E0WHITE; DB/104B16W8B66R3B/16"
"House of Tartan", "2075", "District", "Eglinton", "A=5C8CA8AZURE;K=101010BLACK;G=006818GREEN;R=C80000RED; K/6G6K6A32K6R6K/6"
"House of Tartan", "445", "Trade", "Eidart Scotch House", "B=2C2C80BLUE;N=888888GREY;R=C80000RED;W=E0E0E0WHITE; B/6R34B4R4B4R6B12N40W6N4W4N/8"
"House of Tartan", "4800", "Fashion", "Eildon (1996)", "BE=003478MUTED BLUE;AGG=003014MOD GREEN;LT=A0783CLIGHT TAN;WY=DCBC00YELLOW;DDB=000034DARK NAVY AGG/4LT2AGG22WY4AGG22DDB4AGG4DDB38AGG4BE16AGG8BE16AGG4LT/38"
"House of Tartan", "4799", "Fashion", "Eildon/Longniddry Blue Dress", "W=E0E0E0WHITE;DB=202060DARK BLUE;LB=2888C4LIGHT BLUE;A=5C8CA8AZURE; DB/60LB4W4LB4DB8A20W50DB/8"
"House of Tartan", "2196", "District", "Elgin", "DT=441800DARK BROWN;LT=A08858LIGHT BROWN;O=D87C00ORANGE;W=E0E0E0WHITE; DT/10O8DT52LT52DT8LT6W/10"
"House of Tartan", "596", "Clan", "Elliot", "B=202050BLUE;UT=481410MARROON;R=C50000RED; B/96UT24B18R/6"
"House of Tartan", "6166", "Name", "Ellis Welsh", "K=101010BLACK;A=5C8CA8AZURE;AG=00643CANC GREEN;WW=FCFCFCWILSON WHITE;B=3C3C60BLUE; WW2K3AG30K3B36K3A26K2A4K2A26K4.K4AG14K6A26K2A4K2A26K3B14K3AG17K6WW2K6AG17K3B14K3A26K2A4K2A26K6AG14"
"House of Tartan", "10364", "District", "Ellis Island American", "WG=408060WTHRD GREEN;G=006818GREEN;BR=B03000BRICK RED;ZR=A00000RUST;A=5C8CA8AZURE;B=2C2C80BLUE;DY=F09400GOLD;WW=F8F8F8WILSON WHITE;K=101010BLACK; DY/6WG4DY2WG48DY2WG12WW2A24WG2A8WG12K2ZR/136"
"House of Tartan", "115", "Clan", "Elphinstone", "G=006818GREEN;P=780078PURPLE; P/20G6P20G/56"
"House of Tartan", "1968", "Corporate", "Encyclopedia Britannica", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE; B36K6B12K6B12K10G24R8G24K10B36K8W10K8"
"House of Tartan", "849", "Commemorative", "Englehart", "B=2C2C80BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW; G/106R26B4Y/44"
"House of Tartan", "2032", "Canadian", "Ensign of Ontario", "K=101010BLACK;T=604000BROWN;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW; G42K2R8K2T42G6T6G6T42G6Y8G42T6G6T6"
"House of Tartan", "1996", "Commemorative", "Equorian Olympic", "B=2C2C80BLUE;T=604000BROWN;DG=003820DARK GREEN;N=888888GREY;LT=A08858LIGHT BROWN;DW=B8B8B8OFF WHITE; B2N1LT1DG6DW3LT3T6LT1N1B2N1LT1DG6DW3LT3T6LT1N1B2N1LT1DG6DW3LT3T6LT3DW3DG6DW3LT3T6LT1N1"
"House of Tartan", "891", "Clan", "Erskine (Green &amp; Red)", "G=006818GREEN;R=C80000RED; R/8G2R56G48R2G/12"
"House of Tartan", "4820", "Clan", "Erskine Blue Dress", "W=E0E0E0WHITE;LB=2888C4LIGHT BLUE; LB/10W4LB50W50LB4W/10"
"House of Tartan", "12466", "Design", "Erskine BW MINI", "K=101010BLACK;W=E0E0E0WHITE; K/6W3K27W27K3W/6"
"House of Tartan", "1246", "Clan", "Erskine BW or Ramsay", "K=101010BLACK;W=E0E0E0WHITE; K/12W6K54W54K6W/12"
"House of Tartan", "1972", "Clan", "Erskine Dress Burgandy", "DR=901C38MARROON;W=E0E0E0WHITE; DR/10W4DR50W50DR4W/10"
"House of Tartan", "941", "Clan", "Erskine Green", "G=006818GREEN;W=E0E0E0WHITE; G/12W4G58W58G4W/12"
"House of Tartan", "6534", "Fashion", "Erskine Purple (Dance)", "W=E0E0E0WHITE;P=780078PURPLE; P/12W4P58W58P4W/12"
"House of Tartan", "1700", "Clan", "Erskine Red Dress", "R=C80000RED;W=E0E0E0WHITE; R/12W4R58W58R4W/12"
"House of Tartan", "632", "Clan", "Erskine Royal Blue Dress", "B=2C2C80BLUE;W=E0E0E0WHITE; B/12W4B58W58B4W/12"
"House of Tartan", "1840", "District", "Essex County Ontario", "A=5C8CA8AZURE;K=101010BLACK;DG=003820DARK GREEN;G=006818GREEN;LG=289C18LIGHT GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; W/4R4A12DG8G10LG6K2R8K2Y/60"
"House of Tartan", "1520", "Family", "Estes", "K=101010BLACK;B=2C2C80BLUE;LG=289C18LIGHT GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/12LG4R4LG16K4Y4K4Y4K20B4K4B46W4B4W/4"
"House of Tartan", "6777", "District", "Estonian National Tartan Estonian", "AB=1870A4ANC BLUE;FSB=2474E8FS BLUE;WW=F8F8F8WILSON WHITE;K=101010BLACK;B=2C2C80BLUE;R=C80000RED;Y=E8C000YELLOW; AB64Y2R6Y2AB64K10AB6K4WW2K4AB6K106AB6K4WW2K4AB6K10"
"House of Tartan", "10214", "Fashion", "Eternity", "DN=5C5C5CDARK GREY;N=888888GRAY;T=604000BROWN;LT=A08858LIGHT BROWN;K=101010BLACK;LN=A0A0A0LIGHT GREY LN/2K4LT4T6DN/176"
"House of Tartan", "1877", "Canadian", "Etienne Paschal Tache Sir...", "B=2C2C80BLUE;T=604000BROWN;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; W/6T2R58T32G46B6G6Y/4"
"House of Tartan", "1191", "District", "Ettrick", "K=101010BLACK;R=C80000RED; K/12R62K62R/12"
"House of Tartan", "2300", "District", "Ettrick (Green)", "A=5C8CA8AZURE;DG=003820DARK GREEN;NB=003C64NAVY BLUE;R=C80000RED;Y=E8C000YELLOW; NB/4DG2R2DG2R2DG40NB12R4DG2A2DG2R2DG2R2DG2Y2DG2R4NB12R2DG10R2DG4NB/4"
"House of Tartan", "10683", "Corporate", "European Congress of Immunology", "DP=9900CCMAGENTA;Y=FFE600YELLOW;K=101010BLACK;R=FF004DRED;B=3333FFBLUE;W=FFFFFFWHITE; DP/13Y2B18R22K28B6W2B6K28R22K18Y2DP/13"
"House of Tartan", "2486", "District", "European Union", "DB=202060DARK BLUE;DR=880000DARK RED;MY=D09800M YELLOW;K=101010BLACK;LN=C0C0C0LIGHT GRAY;Y=E8C000YELLOW;W=E0E0E0WHITE; DR4K2DB20Y36DB20K2Y4K2DB64W8DB64K2Y4K2DB20Y36DB20K2"
"House of Tartan", "5732", "Name", "Evans Welsh", "A=5C8CA8AZURE;K=101010BLACK;M=901C38MARROON;NB=003C64NAVY BLUE;R=C80000RED; R2K3NB30K2NB4K2NB30K36M30K2A2.M4R6M20K3R2K3NB17K2NB4K2NB17K20M20A6M8A6M20K20NB17K2NB4K2NB17K3R2K3M20R6M2"
"House of Tartan", "11082", "Clan", "Ewing", "K=101010BLACK;R=C80000RED; K/92R12K4R48K4R/12"
"House of Tartan", "2286", "Corporate", "Exabyte", "RB=1C0070ROYAL BLUE;G=006818GREEN;DR=880000DARK RED;LN=C0C0C0LIGHT GRAY;DN=5C5C5CDARK GREY; DR/6DN68RB8G94LN/6"
"House of Tartan", "7860", "Name", "Eynon Welsh", "Y=C8A400YELLOW;K=101010BLACK;AG=007460ANC GREEN;VDB=00002CMIDNIGHT;G=006818GREEN; K4Y2G7VDB11Y1VDB11G7VDB4G3VDB6K1VDB6G3K1VDB11.K12Y4G12VDB24Y1VDB24G12VDB5G3VDB6K4VDB6G3K2VDB16K2G3VDB6K4VDB6G3VDB5G12VDB24Y1VDB24G12Y4K12"
"House of Tartan", "6787", "Personal", "Falconer of Labhdal", "K=101010BLACK;WG=408060WTHRD GREEN;EG=009468Emerald Green;A=5C8CA8AZURE;AL=48A4C0ANDERSON BLUE;AA=789484ANC AZURE; A28K28A28EG80A8EG8A8EG80A28K28"
"House of Tartan", "2347", "District", "Falkirk", "K=101010BLACK;B=2C2C80BLUE;T=604000BROWN;DR=880000DARK RED;MY=D09800M YELLOW;BL=1474B4BALMORAL BLUE;R=C80000RED;Y=E8C000YELLOW; R6Y4T54BL44K4BL8K4BL8K8BL8K4BL8K4BL44T54Y4"
"House of Tartan", "1352", "Clan", "Farquharson", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW; R/4B8K2B2K2B2K16G16Y4G16K16B16K2R/4"
"House of Tartan", "1967", "Clan", "Farquharson or MacEwan", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW; B6K4B6K4B56K4B6K4B6K38G44K2Y8K2G44K38B32K4B6K4B32K38G44K2R8K2G44K38"
"House of Tartan", "10571", "Name", "Faskin Family", "LB=2D8ACDLIGHT BLUE;P=770676PURPLE;K=101010BLACK;G=016817GREEN;W=FFFFFFWHITE; LB/2P20K20G24K2G24LB4G32W/2"
"House of Tartan", "83", "Corporate", "Federal Bureaux (FBI)", "A=5C8CA8AZURE;B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE; A/120B38W6B4R4B/14"
"House of Tartan", "6112", "Personal", "Fennell Grandmothers Canadian", "R=C80000RED;DP=740074DARK PURPLE;Y=E8C000YELLOW;G=006818GREEN;K=101010BLACK;W=ECECECWHITE; R/110DP2Y2R6DP14R6Y2DP2R6G32R6DP2Y2K6W2G10R6K4DP4W/2"
"House of Tartan", "503", "Clan", "Ferguson (Old)", "B=2C2C80BLUE;G=006818GREEN;R=C80000RED; B/30R4G/34"
"House of Tartan", "92", "Clan", "Ferguson Dress", "A=588CA8AZURE;DB=202060DARK BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;DR=880000DARK RED;HSB=048888HSA BLUE; A/68DB48W36DR6W36G4W/6"
"House of Tartan", "337", "Clan", "Ferguson of Athol", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE; B/48K16G16R4G16K2W/4"
"House of Tartan", "738", "Clan", "Ferguson of Balquhidder", "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED; G/8B48R6K48G50K/8"
"House of Tartan", "2273", "County", "Fermanagh Irish", "RLY=E8C468AM MUSTARD;WB=6C7490AM NAVY BLUE;OT=B49058DESERT;PG=385C40HOLLY;PSG=54786CLOVAT;AB=54548COXFORD; PSG/6WB6PG4WB6RLY4WB4RLY4WB26AB8PSG6AB6PSG6AB6PSG6AB8WB40OT/6"
"House of Tartan", "3225", "Family", "Fernandes", "Y=E8C000YELLOW;LG=289C18LIGHT GREEN;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;DR=880000DARK RED; DR/6R6DR88Y70LG10Y10LG/10"
