"Origin ID","Name","Alternative Name","Description","Category","Source","Origin URL"
"811","Scotch","Scotch House Cailean Trade Tartan WR1728","The source of tartan 1728 was: Scotch House","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=811.htm"
"812","Fraser","Fraser Hunting Trade Tartan WR1729","This sample comes from the MacGregor-Hastie collection which forms the basis of the cloth archive of the Scottish Tartans Society. Some of the samples, including this one, were unmarked. One can assume that the sample dates between 1930 and 1950.","Other","The source of tartan 1729 was: MacGregor-Hastie Collection","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=812.htm"
"813","Buchanan","Buchanan 173","This sample comes from the MacGregor-Hastie collection which forms the basis of the cloth archive of the Scottish Tartans Society. Some of the samples, including this one, were unmarked. One can assume that the sample dates between 1930 and 1950.","Other","MacGregor-Hastie Collection 2","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=813.htm"
"814","Unidentified","Unidentified Gordon variant Tartan WR1730","Sample in STS collection.","Other","The source of tartan 1730 was: An Oban kiltmaker","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=814.htm"
"815","Keeper of the Quaich","Keeper of the Quaich Corporate Tartan WR1731","Restricted. Sample in STS collection.","Other","The source of tartan 1731 was: Dgn. Kinloch Anderson","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=815.htm"
"816","Daks","Daks Muted Loden Trade Tartan WR1732","The source of tartan 1732 was: Daks-Simpson","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=816.htm"
"817","Wilson's No. 17","Wilson's No. 17 WR1733","The source of tartan 1733 was: Wilson's of Bannockburn","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=817.htm"
"818","Pearson","Pearson WR1734","The sample was donated by Mr A.H. Pearson, Egremont, Cumbria, England (UK) It date was circa 1950/51 and was in reproduction shades. The normal green shade is therefore in doubt but is thought to be a blue/grey green.","Other","The source of tartan 1734 was: A.H. Pearson, Cumbria","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=818.htm"
"819","Loch Rannoch","Loch Rannoch Trade Tartan WR1735","The source of tartan 1735 was: Dgn. P.J Thompson. Clan Crest Txtls","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=819.htm"
"820","Burns check, Robert","Burns check, Robert WR1736","Number of black stripes is not fixed. This display used thread count that has been doubled","Other","The source of tartan 1736 was: E. S. Harrison","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=820.htm"
"821","Seller","Seller Sillar Family Tartan WR1737","The design is based on the Sillers connection with the Isle of Arran and the Clan Stewart.","Other","The source of tartan 1737 was: Mr D Sillers","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=821.htm"
"822","Stewart","Stewart Fawn Trade Tartan WR1738","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=822.htm"
"823","Brown Watch","Brown Watch WR1739","The source of tartan 1739 was: Not attributed","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=823.htm"
"824","Buchanan","Buchanan 174","Colours similar to Logan's but thread count differs.","Other","MacGregor-Hastie Collection 3","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=824.htm"
"825","Daks","Daks Trade Tartan WR1740","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=825.htm"
"826","Braemar","Braemar or Blair Atholl Trade Tartan WR1741","The source of tartan 1741 was: Scott Bros (Hawick)","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=826.htm"
"827","Annan","Annan Trade Tartan WR1742","The source of tartan 1742 was: Barry of Hawick","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=827.htm"
"828","Bannockbane","Bannockbane Trade Tartan WR1743","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=828.htm"
"829","Bannockbane","Bannockbane Trade Tartan WR1744","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=829.htm"
"830","Cameron","Cameron Hunting Clan Tartan WR1745","The source of tartan 1745 was: J.g. MacKay","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=830.htm"
"831","Brown Watch dress","Brown Watch Dress WR1746","Incomplete sample.","Dress","The source of tartan 1746 was: Scott Bros (Hawick)","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=831.htm"
"832","Waverly","Waverly Check Corporate Tartan WR1747","Edinburgh Woollen Mills house tartan for staff uniforms.","Other","The source of tartan 1747 was: Dgn. Ramsay Johnstone EWM","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=832.htm"
"833","Glen Clova","Glen Clova Trade Tartan WR1748","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=833.htm"
"834","Turnberry","Turnberry Manx Snaefell Family Tartan WR1749","A coincidence.","Other","The source of tartan 1749 was: McArthur Co/ D G Teall","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=834.htm"
"835","Baxter of Balgavies","Baxter of Balgavies Clan Tartan WR175","A description of this sett is given in The Baronage of Angus and Mearns (1856). D.M Peter.","Other","The source of tartan 175 was: Baronage of Angus and Mearns","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=835.htm"
"836","Loch Garth","Loch Garth Tartan WR1750","The source of tartan 1750 was: Lumsden, Toronto","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=836.htm"
"837","Loch Tummel","Loch Tummel Trade Tartan WR1751","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=837.htm"
"838","Menzies","Menzies Brown & White Trade Tartan WR1752","The source of tartan 1752 was: Scott Bros (Hawick)","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=838.htm"
"839","Inches","Inches of Perth Tartan WR1753","The source of tartan 1753 was: Paton","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=839.htm"
"840","Harmony","Harmony 9 Trade Tartan WR1754","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=840.htm"
"841","Douglas variation","Douglas variation WR1755","Trade sett, Sample from Peter Henderson a retailer in Glasgow. This firm were famous bagpipe makers but are not in business any more. (2006)","Other","The source of tartan 1755 was: Peter Henderson, Glasgow","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=841.htm"
"842","Menzies","Menzies Dress Blue & White Tartan WR1756","STS collection.","Other","The source of tartan 1756 was: Hugh MacPherson","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=842.htm"
"843","MacKerrell","MacKerrell WR1757","A sample was presented to the Scottish Tartans Society by John Drummond Bowman. This version of the tartan has the unusual feature of exchanging red for yellow in the weft. It is larger than the sett recorded in the Lyon Court Books in 1982. The name, MacKerral or MacKerrell, is recorded in Ayrshire in the 12th century. Restricted as a tartan through Mackerrell of Hillhouse","Other","The source of tartan 1757 was: Lutterworth","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=843.htm"
"844","MacKerrell of Hillhouse hunting","MacKerrell of Hillhouse Hunting WR1758","A MacKerral tartan was recorded by the Scottish Tartans Society in 1975. The Lyon Court Books contain the note ""Wefted in scarlet"", referring to an unusual feature, that of replacing the yellow warp stripe with red in the weft. The name, MacKerrell or MacKerral, was recorded in Ayrshire in the 12th century. Restricted as a tartan through Mackerrell of Hillhouse","Hunting","The source of tartan 1758 was: Lyon Court Books","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=844.htm"
"845","Unnamed","Unnamed No. 26 Tartan WR1759","This sett is taken from the records of Messrs Bolingbroke and Jones of Norwich, who were weavers around 1870. Some of the tartans have been adopted or modified in recent times as the copyright of the designs is now in the public domain.","Other","The source of tartan 1759 was: Norwich Collection.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=845.htm"
"846","Gayre","Gayre Arisaidh Clan Tartan WR176","Sindex notes that this sett is taken from an arisaidh. Although generally regarded as the usual modern form, it differs from the count registered with Lord Lyon. The Chief of the Gayres has declared that the Duthus of the clan is at Minard Castle, Loch Fyne, since oil related developments made the location at Tain unsuitable. Minard Castle contains a small museum of family history.","Other","The source of tartan 176 was: Scottish Tartans Society","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=846.htm"
"847","Stuart / Stewart","Stuart / Stewart Riding Cloak Artifact Tartan WR1760","Worn by Prince Charles.","Other","The source of tartan 1760 was: Edinburgh Castle","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=847.htm"
"848","Scotia","Scotia Universal Tartan WR1761","The source of tartan 1761 was: Edinburgh Woollen Mill","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=848.htm"
"849","Henderson","Henderson MacKendrick Clan Tartan WR1762","The name Henderson in Gaelic is MacEanruig, which is sometimes rendered as MacKendrick. Hendersons from the north are associated with the Gunns. Hendersons lived in Lochaber and Angus. The Henderson tartan resembles the Davidson, both of which were first recorded by W & A.K.Johnston in 1906.","Other","The source of tartan 1762 was: W & A K Johnston","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=849.htm"
"850","MacNeil","MacNeil Clan Tartan WR1763","This sett comes from MacGregor Hastie's notes on William Wilson and Sons of Bannockburn. A white stripe replaces the yellow of the usual sett which was also produced by Wilson around 1819.","Other","The source of tartan 1763 was: MacGregor Hastie (Wilson)","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=850.htm"
"851","MacNeil","MacNeil Clan Tartan WR1764","A more compact sett than Logan's later version. Wilson commented that Logan's thread counts were ""deficient at the extremities"", which if true in this case would create a marked effect on the proportion of the stripe to the guard. Even so the black guards to the white stripe (yellow in Logan's version) are visibly broader than usual.","Other","The source of tartan 1764 was: Wilson's of Bannockburn '1819'","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=851.htm"
"852","Stewart","Stewart Dress Clan Tartan WR1765","The source of tartan 1765 was: STS","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=852.htm"
"853","MacNeil","MacNeil Clan Tartan WR1766","Logan describes the blue as 'smalt'. Smith recorded this version in 1850 as did Smibert in the same year. The sett is distinguished by the broad black guards on either side of the yellow stripe which do not appear in the modern version.","Other","The source of tartan 1766 was: Logan, 1831","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=853.htm"
"854","MacNeil (Barra)","MacNeil (Barra) WR1767","This version shows the narrow 'tramlines' about the yellow stripe, the usual modern form that differs from Logans earlier version. The MacNeils claim descent from Niall, King of Ireland, who came to Barra in 1049. The present chief, Professor Ian Roderick MacNeil of Barra, lives in Chicago, U.S.A. There is also a tartan for the MacNeils of Colonsay. MacNeils are hereditary pipers to the MacLeans of Duart.","Other","The source of tartan 1767 was: J.Grant. 'Tartans of the Clans..'","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=854.htm"
"855","MacNeil","MacNeil Artifact Tartan WR1768","The source of tartan 1768 was: Scottish Museum of Wool Textiles","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=855.htm"
"856","MacNeil","MacNeil Clan Tartan WR1769","The pattern books of the old firm of weavers, Wilson's of Bannockburn, provide a reliable early source for this tartan. Wilson's were in business with a monopoly to supply tartan to the regiments in the second half of the 18th century before this pattern was recorded.","Other","The source of tartan 1769 was: Wilson's of Bannockburn","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=856.htm"
"857","Scottish Netball","Scottish Netball Association Corporate Tartan WR177","The source of tartan 177 was: Dgn J Scarlett","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=857.htm"
"858","MacLaren","MacLaren Dress Tartan WR1770","Produced by Dalgliesh as a country dancing tartan.","Other","The source of tartan 1770 was: Dgn. Miss Lyn MacLaren, Duns","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=858.htm"
"859","Lochnagar","Lochnagar Trade Tartan WR1771","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=859.htm"
"860","Womble","Womble Corporate Tartan WR1772","The source of tartan 1772 was: STS collection","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=860.htm"
"861","Womble","Womble Fancy Tartan WR1773","The source of tartan 1773 was: STS collection","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=861.htm"
"862","Womble","Womble Fancy Tartan WR1774","The source of tartan 1774 was: STS collection","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=862.htm"
"863","National","National Universal Tartan WR1775","This sett was designed by the National Association of Scottish Woollen Manufacturers in 1934. (STS archives) Some 60 years later (1994) a new 'National' tartan has been developed. See 'Scottish National' and 'Scottish National Dress'.","National","The source of tartan 1775 was: Dgn. Scottish Woollen Manufacturers Association","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=863.htm"
"864","MacDougall","MacDougall Clan Tartan WR1776","Paton 1966 magenta for purple.","Other","The source of tartan 1776 was: Lochcarron.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=864.htm"
"865","Frame","Frame Family Tartan WR1777","The source of tartan 1777 was: Dgn. Archie Frame, Ayrshire","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=865.htm"
"866","Bruce County","Bruce County District Tartan WR1778","Bruce County is an administrative district of the Province of Ontario. The design is attributed to Lord Bruce, the son of the Earl of Elgin, and chief of the Clan Bruce, for his role in adapting the Bruce clan tartan. Two blue stripes have been added to represent the coastline of Lake Huron and Georgian Bay.","County","The source of tartan 1778 was: Dgn. Lord Bruce","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=866.htm"
"867","Crosser","Crosser Crozier Family Tartan WR1779","The source of tartan 1779 was: Messrs R W Forsythe, Glasgow","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=867.htm"
"868","Harkness","Harkness Family Tartan WR178","The source of tartan 178 was: Dgn Harvey Harkness","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=868.htm"
"869","Dalrymple","Dalrymple of Castleton Portrait Tartan WR1780","Reconstructed and woven by Don Rankin from illustration. Sample in STS collection.","Other","The source of tartan 1780 was: From Christian Hesketh's 'Tartans'","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=869.htm"
"870","Atlantic","Atlantic Ancient Trade Tartan WR1781","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=870.htm"
"871","Gordon","Gordon Dress Family Tartan WR1782","Oldest of the Dress Gordons, this sett is based on the usual Gordon or 92nd regimental pattern.","Other","The source of tartan 1782 was: W & A K Johnston","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=871.htm"
"872","Wombles","Wombles Corporate Tartan WR1783","Wombles International, of Jacob's Well Mews, London, patented this design which is a variant of the Jacobite tartan. Wombles are television puppet characters.","Other","The source of tartan 1783 was: Wombles International","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=872.htm"
"873","Dunlop","Dunlop Dress Family Tartan WR1784","The source of tartan 1784 was: Dgn. Dunlop Family Clan Society","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=873.htm"
"874","Malcolm","Malcolm Dress Clan Tartan WR1785","Paton's collection dates from 1830 and spans the whole of the Victorian era. This dress sett probably dates from 1890's when many new dress tartans were introduced. Dress Malcolm is based on the sett first recorded in Wilson's of Bannockburn's pattern books of 1847. The gold and azure colours can be found in the Malcolm family armourial bearings.","Other","The source of tartan 1785 was: Paton's collection","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=874.htm"
"875","MacKenzie","MacKenzie Dress Clan Tartan WR1786","The source of tartan 1786 was: Paton","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=875.htm"
"876","Graham","Graham Dress Clan Tartan WR1787","Incomplete sett. The Paton collection dates from 1830 but there is no record of when this pattern was first produced. Dress tartans became popular in the latter part of the 19th century. Also listed under ...BGBGKW...","Other","The source of tartan 1787 was: Paton","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=876.htm"
"877","Womble","Womble Fancy Tartan WR1788","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=877.htm"
"878","Lasting","Lasting Family Tartan WR1789","An early plaid sett from Wilson's of Bannockburn 1819 pattern book.","Other","The source of tartan 1789 was: Wilson's of Bannockburn '1819'","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=878.htm"
"879","Wilson","Wilson Clan Tartan WR179","The pattern books of the old firm of weavers, Wilson's of Bannockburn, provide a reliable early source for this tartan. Wilson's were in business with a monopoly to supply tartan to the regiments in the second half of the 18th century before this pattern was recorded.","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=879.htm"
"880","Stewart","Stewart Dress Clan Tartan WR1790","The 'Dress' version of James Logan's 'Royal Stewart' which D.C.Stewart compared to 200 year old silk scarf with the remark, ""that the design had been well maintained"". In this pattern the blue is joined to the black and the yellow and white are of equal size. The red stripe on the white, not present here, signifies a 'Victoria' sett. The Dress Stewart tartan alongside its 'formal' partner, the Royal Stewart, is known throughout the world as a symbol of Scotland.","Other","The source of tartan 1790 was: Not attributed","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=880.htm"
"881","Stewart","Stewart Dress Artifact Tartan WR1791","Wool and silk evening dress.","Other","The source of tartan 1791 was: Royal Museum of Scotland, Edinburgh","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=881.htm"
"882","Culloden","Culloden Blue Dress Trade Tartan WR1792","One of a number of dress tartans produced by Hugh Macpherson, a kiltmaker in Edinburgh, intended for dancing and other informal ocassions. The 'dress' version of clan tartan is usually created by substituting white for one of the 'ground' colours.","Other","The source of tartan 1792 was: Hugh Macpherson, Edinburgh","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=882.htm"
"883","MacPherson","MacPherson Red Clan Tartan WR1793","There are a great number of variations of the Dress MacPherson, many of them modern trade designs which are popular with country dancers. Hugh Macpherson of Edinburgh, kiltmaker and tartan designer some decades ago, supplied samples of these to the Scottish Tartan Society around 1980.","Other","The source of tartan 1793 was: Hugh Macpherson, Edinburgh","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=883.htm"
"884","Stewart dress blue","Stewart dress blue 1794","Kinloch Anderson","Dress","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=884.htm"
"885","Clodagh","Clodagh Cork Irish Tartan WR1795","In a letter from a Northern Irish bagpipe maker in 1979 it says, '...it has been established that it originated somewhere in the Bog of Allen in Southern Ireland.' However, there is a marked similarity with the King George VI tartan which is a variation of the Royal Stewart. There is also a similarity with the MacBeth tartan.","Other","The source of tartan 1795 was: From a sample woven by D.C.Dalgliesh, Selkirk","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=885.htm"
"886","Bowling","Bowling 1796","Found in Pendleton Woollen Mill, Oregon's records by William Johnston TECA (c.1978)","Other","Pendleton Woollen Mill, Oregon","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=886.htm"
"887","Ogilvy","Ogilvy or Drummond of Strathallen Clan Tartan WR1797","From the collection of the Highland Society of London.","Other","The source of tartan 1797 was: Highland Society of London","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=887.htm"
"888","Inglis","Inglis Family Tartan WR1798","Inglis, or Ingles, tartan is a variation of the MacIntyre tartan recognised by Lord Lyon. The green stripe of the MacIntyre is replaced by yellow in the Inglis tartan. The pattern comes from the collection of the late James MacKinlay which he called MacIntyre or Inglis. MacKinlay collected samples of tartan between 1930 and 1950 but did not provide details of the origins of the specimens. The original MacIntyre tartan can be seen on a doublet at the Kingussie museum dated 1800.","Other","The source of tartan 1798 was: MacKinlay","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=888.htm"
"889","Muskoka","Muskoka Canadian Tartan WR1799","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=889.htm"
"890","Campbell","Campbell, Marquis of Lorne Commemorative Tartan WR18","P = Bright Purple. In a notebook held at the National Library of Scotland. A sample exists in the Provost MacBean collection.","Other","The source of tartan 18 was: J.f.Campbell of Islay 1871","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=890.htm"
"891","Wilson","Wilson Clan Tartan WR180","This is the count used by F.H. Hamilton to weave STS sample in 1987. The sett appears to be a reduced sett of the Wilson tartan made by Wilson's of Bannockburn c.1780.","Other","The source of tartan 180 was: Scottish Tartans Society","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=891.htm"
"892","Kiernan","Kiernan 1800","Found in Pendleton Woollen Mill, Oregon's records by William Johnston TECA (c.1978)","Other","Pendleton Woollen Mill, Oregon","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=892.htm"
"893","Aberdeen","Aberdeen District Tartan WR1801","There is evidence to suggest that the sett was introduced and named by Wilsons of Bannockburn during the period 1746-82 when tartan was proscribed by law. Aberdeen is one of Scotland's oldest district tartans. The first documentary evidence is contained in a purchase order, addressed to Wilson's, from Scott and Anderson, dated 20th June 1794.","Other","The source of tartan 1801 was: Wilson's of Bannockburn '1800' MS","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=893.htm"
"894","Dunoon","Dunoon Irish Corporate Tartan WR1802","Glasgow Irish Pipe Band","Other","The source of tartan 1802 was: Dgn. Harry Bayre","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=894.htm"
"895","Robertson","Robertson Clan Tartan WR1803","T. Smibert's, 'The Clans of the Highlands of Scotland' (1850) contains 55 tartan setts, provided in the greater part by Wilson's of Bannockburn. Smibert was anxious to 'ascertain and establish' the genuine old setts before 'the influx of such varieties made it impossible'. His name appears on the list of subscribers to Logan's book, 'The Scottish Gael' (1831).","Other","The source of tartan 1803 was: Smibert. Old & Rare. The Setts.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=895.htm"
"896","Robertson","Robertson Dress hunting Clan Tartan WR1804","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=896.htm"
"897","Rothesay","Rothesay Hunting District Tartan WR1805","The source of tartan 1805 was: J. Cant","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=897.htm"
"898","Quaboos","Quaboos Pipers Plaid Regimental Tartan WR1806","The Sultan of Oman is the ruler of Quaboos.","Other","The source of tartan 1806 was: Granger & Campbell, Glasgow","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=898.htm"
"899","Unidentified","Unidentified Specimen Artifact Tartan WR1807","Said to have been made at Clunes Farm","Other","The source of tartan 1807 was: Perth museum No 2344","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=899.htm"
"900","John","John Hamilton Gray Canadian Tartan WR1808","A tartan in a group produced by Sainthill-Levine & Co Ltd. Under the title ""Founders of Confederation"" tartans","Other","The source of tartan 1808 was: Sainthill-Levine Co","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=900.htm"
"901","Stewart","Stewart variant Artifact Tartan WR1809","Plain weave.","Other","The source of tartan 1809 was: STS collection.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=901.htm"
"902","Wilson's No. 188","Wilson's No. 188 WR181","The source of tartan 181 was: Wilson's pattern book 1819","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=902.htm"
"903","O'Neill","O'Neill Corporate Tartan WR1810","Worn by the Shane O'Neill Pipe Band, New Jersey, USA.","Other","The source of tartan 1810 was: Phil Smith","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=903.htm"
"904","Seller","Seller Sillar Family Tartan WR1811","The design is based on the Sillers connection with the Isle of Arran and the Clan Stewart.","Other","The source of tartan 1811 was: Dalgleish","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=904.htm"
"905","Menzies","Menzies Black Dress Clan Tartan WR1812","The source of tartan 1812 was: Dalgleish","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=905.htm"
"906","Fitzpatrick","Fitzpatrick 1813","Found in Pendleton Woollen Mill, Oregon's records by William Johnston TECA (c.1978)","Other","Pendleton Woollen Mill, Oregon","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=906.htm"
"907","Unidentified","Unidentified Flora MacDonald Artifact Tartan WR1814","Similar to 'Plaid of Flora MacDonald' BKB:BKB","Other","The source of tartan 1814 was: Museum of Antiquities","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=907.htm"
"908","Prince Edward Island","Prince Edward Island District Tartan WR1815","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=908.htm"
"909","Bruce","Bruce Hunting Clan Tartan WR1816","A sample in the Coulson Bonner collection is labelled 'Earl of Elgin'. It is believed to have been a special order from Colonel Bruce, manufactured by Peter Anderson of Galashiels around 1939. The hunting sett retains the black guards of the chiefly 'Bruce' sett known to the Elgin family for generations.","Other","The source of tartan 1816 was: Peter Andersons Co","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=909.htm"
"910","Saskatchewan","Saskatchewan District Tartan WR1817","The source of tartan 1817 was: Col Lawson","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=910.htm"
"911","Fitzgerald","Fitzgerald Dress Family Tartan WR1818","Produced between 1969 and 1973 in ignorance of the Fitzgerald/Baluchistan tartan.","Other","The source of tartan 1818 was: Dgn. Robert P.Fitzgerald","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=911.htm"
"912","Boyd","Boyd Clan Tartan WR1819","This sett is taken from a sample in the Scottish Tartans Society collection. It is a more compact form of the sett designed for Lord Kilmarnock in 1956 and registered with the Lord Lyon. The Lordship of Boyd was created in 1454. The family has a long association with the town of Kilmarnock and the castle of Dean, in the South West of Scotland. Thomas Boyd was created Earl of Arran in 1467. The tartan is based on the Hay and the Stuart of Bute tartans.","Other","The source of tartan 1819 was: STS collection, 1956","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=912.htm"
"913","Agnew","Agnew Family Tartan WR182","","Other","","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=913.htm"
"914","Boyd","Boyd Family Tartan WR1820","The Lords Kilmarnock are descended from both the Hays (the Earls of Errol), and the Stewarts and the design incorporates elements from the Hay-Leith tartan (the red section) and the Hunting Stewart (the green section) with minor alterations to each. The representation here follows the count registered with Lord Lyon on 7th March 1956. The Boyd family are closely associated with the town of Kilmarnock in the South West of the Scottish Lowlands.","Other","The source of tartan 1820 was: Designed for Lord Kilmarnock, 1956","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=914.htm"
"915","Bruce","Bruce Clan Tartan WR1821","The chiefly sett of the Bruce tartan, based on a weavers chart, which Lord Bruce believes to date from 1571. Writing in 1967, Lord Bruce says, "".. a specimen of tartan cloth (as illustrated) was in the possession of the Cumming-Bruce's of Dumphail in the mid nineteeth century and came into the keeping of Lord Elgin's family about that time after the marriage of the 8th Earl and Mary Cumming-Bruce (heiress of Dumphail and Kinnaird).","Other","The source of tartan 1821 was: STS Collection.","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=915.htm"
"916","Campbell","Campbell Brown Family Tartan WR1822","This sample comes from the MacGregor-Hastie collection which forms the basis of the cloth archive of the Scottish Tartans Society. Some of the samples, including this one, were unmarked. One can assume that the sample dates between 1930 and 1950.","Other","The source of tartan 1822 was: MacGregor-Hastie Collection","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=916.htm"
"917","Clergy","Clergy Family Tartan WR1823","There are many variations of the Clergy sett, due to the vagaries of the illustrators of tartan books. Logan names the colour of each measured stripe so there can be no doubt as to his intention.","Other","The source of tartan 1823 was: Logan","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=917.htm"
"918","MacLean","MacLean Black & White Clan Tartan WR1824","Half actual count","Other","The source of tartan 1824 was: MacKinlay","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=918.htm"
"919","Scott Border","Scott Border WR1825","An abbreviated form of the sett recorded by Smibert in 1850 attributed to Sir Walter Scott himself.","Other","The source of tartan 1825 was: W & A K Johnston","http://www.tartans.scotland.net/tartan_info.cfm@tartan_id=919.htm"
